img_id,Erythema_LABEL,Erythema_SPLIT,Brown_LABEL,Brown_SPLIT,Crust_LABEL,Crust_SPLIT,Telangiectasia_LABEL,Telangiectasia_SPLIT,Black_LABEL,Black_SPLIT
001d22ff2543f95d2d38c18da0446c84,1_TRUE,val,0_FALSE,val,0_FALSE,val,0_FALSE,val,0_FALSE,val
002714e65a78f16fb05bc0aa95ea9761,1_TRUE,val,0_FALSE,val,0_FALSE,val,0_FALSE,val,0_FALSE,val
0041c7551e027def40cf81ab8fe14a36,1_TRUE,val,0_FALSE,val,0_FALSE,val,0_FALSE,val,0_FALSE,val
0055bbe758e1f61904d462d966c5520e,0_FALSE,val,1_TRUE,val,0_FALSE,val,0_FALSE,val,0_FALSE,val
00591a0d2c107c55088ca8509c54d374,1_TRUE,val,0_FALSE,val,0_FALSE,val,0_FALSE,val,0_FALSE,val
005b804472c7a27908f99e3d6d6cf91c,1_TRUE,val,0_FALSE,val,1_TRUE,val,0_FALSE,val,0_FALSE,val
008645fdf0de0e02e196cd639efe1441,1_TRUE,val,0_FALSE,val,1_TRUE,val,0_FALSE,val,0_FALSE,val
00918f1c84f591a61d5e59600db86f05,1_TRUE,val,0_FALSE,val,0_FALSE,val,0_FALSE,val,0_FALSE,val
0097275da3cb707415d13d2c59cf8c8c,1_TRUE,val,0_FALSE,val,0_FALSE,val,1_TRUE,val,0_FALSE,val
00b18fb90d4c0ced65a37ec8ec9bcee7,0_FALSE,val,1_TRUE,val,0_FALSE,val,0_FALSE,val,0_FALSE,val
00f1b7bb9581e91250a2bb224c3321b8,1_TRUE,val,0_FALSE,val,0_FALSE,val,0_FALSE,val,0_FALSE,val
00fff647fdfd860ceffc9c5c6a3ac6d1,0_FALSE,val,1_TRUE,val,0_FALSE,val,0_FALSE,val,0_FALSE,val
0121b2a376fadfe8621c407ece12ce37,1_TRUE,val,0_FALSE,val,0_FALSE,val,0_FALSE,val,0_FALSE,val
01390246dab3bff207a63cba3eb571e3,0_FALSE,val,1_TRUE,val,0_FALSE,val,0_FALSE,val,0_FALSE,val
01506c81d5cc12dbcc15e0e928ccc6f6,1_TRUE,val,0_FALSE,val,0_FALSE,val,0_FALSE,val,0_FALSE,val
015d964d0c9dd90e075460225c8e8948,1_TRUE,val,0_FALSE,val,1_TRUE,val,0_FALSE,val,0_FALSE,val
0165928b9c1e388493135b1d31d09055,0_FALSE,val,0_FALSE,val,0_FALSE,val,0_FALSE,val,0_FALSE,val
018504389f4fa566232eb6e3ff838cb8,1_TRUE,val,0_FALSE,val,1_TRUE,val,0_FALSE,val,0_FALSE,val
01950a7b9937d4e4e760a10461248184,0_FALSE,val,0_FALSE,val,0_FALSE,val,0_FALSE,val,0_FALSE,val
01b5477523dde92c62e474c78f3b7c88,1_TRUE,val,0_FALSE,val,0_FALSE,val,0_FALSE,val,0_FALSE,val
01ba602def4506d8bfd5900cccd2ab4d,1_TRUE,val,0_FALSE,val,1_TRUE,val,1_TRUE,val,0_FALSE,val
01c4ab30191acfe035bd672da451283a,0_FALSE,val,1_TRUE,val,0_FALSE,val,0_FALSE,val,0_FALSE,val
01c6b4ba5be31f7bc381b06aa66e3959,1_TRUE,val,0_FALSE,val,0_FALSE,val,0_FALSE,val,0_FALSE,val
01c8b25b26abbf6bf51e5818105ef478,0_FALSE,val,1_TRUE,val,0_FALSE,val,0_FALSE,val,0_FALSE,val
01d4e1319fa2defaf41f8a82d6b0992c,1_TRUE,val,0_FALSE,val,0_FALSE,val,0_FALSE,val,0_FALSE,val
01dddf6f1f6e6715829f03db6e797472,0_FALSE,val,1_TRUE,val,0_FALSE,val,0_FALSE,val,0_FALSE,val
01ea9b82a2e0a7b5eec83dc46e636e03,1_TRUE,val,0_FALSE,val,0_FALSE,val,0_FALSE,val,0_FALSE,val
01f31beeca401ea3d4c92fa3154cfc2f,0_FALSE,val,0_FALSE,val,0_FALSE,val,0_FALSE,val,0_FALSE,val
021b92696d34d7cac5a20029e4b58584,1_TRUE,val,0_FALSE,val,0_FALSE,val,0_FALSE,val,0_FALSE,val
024a737cf57eda5493e8cb30551b4e97,0_FALSE,val,1_TRUE,val,0_FALSE,val,0_FALSE,val,0_FALSE,val
025074f01318b141392d5d8ae3824e8d,1_TRUE,val,0_FALSE,val,1_TRUE,val,0_FALSE,val,0_FALSE,val
026e868b21a96a75fe987d004c10c982,1_TRUE,val,0_FALSE,val,0_FALSE,val,0_FALSE,val,0_FALSE,val
0294c0bfeba8a35db3ca2fcfafd655ef,1_TRUE,val,0_FALSE,val,0_FALSE,val,0_FALSE,val,0_FALSE,val
02a426afaebb4d1d9e8568d85c27dd62,1_TRUE,val,0_FALSE,val,0_FALSE,val,0_FALSE,val,0_FALSE,val
02ace201c9314ade38ccb3e0f1c1663e,1_TRUE,val,0_FALSE,val,0_FALSE,val,0_FALSE,val,0_FALSE,val
02b1a2a60d2b3b6b2e5d15d1f48eab33,0_FALSE,val,0_FALSE,val,0_FALSE,val,1_TRUE,val,0_FALSE,val
02b26f2e0c3e944fb8790213aaf74eb5,1_TRUE,val,0_FALSE,val,0_FALSE,val,0_FALSE,val,0_FALSE,val
02c996857892d8bf3ca24251b9e64394,1_TRUE,val,0_FALSE,val,1_TRUE,val,0_FALSE,val,0_FALSE,val
02fd9e1b56e0c3adae18233f430f2fea,0_FALSE,val,1_TRUE,val,0_FALSE,val,0_FALSE,val,0_FALSE,val
0305d7c86931f06b2847fe8d00c3559c,1_TRUE,val,0_FALSE,val,0_FALSE,val,0_FALSE,val,0_FALSE,val
0309cd4572fa43ead616f58397701a71,0_FALSE,val,0_FALSE,val,0_FALSE,val,0_FALSE,val,0_FALSE,val
031495e77c505bc8d7ae0562001efabc,1_TRUE,val,0_FALSE,val,0_FALSE,val,0_FALSE,val,0_FALSE,val
032e410ca0521e40f3aef51e7a141ebd,1_TRUE,val,0_FALSE,val,0_FALSE,val,0_FALSE,val,0_FALSE,val
033001225ab6fcdc1067b4a813484808,0_FALSE,val,1_TRUE,val,0_FALSE,val,0_FALSE,val,0_FALSE,val
033ee70bafe6a236ecf01ba9f2cb27be,1_TRUE,val,0_FALSE,val,0_FALSE,val,0_FALSE,val,0_FALSE,val
0354f8d19d2059012e3deca560b72847,0_FALSE,val,0_FALSE,val,0_FALSE,val,0_FALSE,val,1_TRUE,val
036c75317df2eb60971693ad80126c99,0_FALSE,val,0_FALSE,val,0_FALSE,val,0_FALSE,val,0_FALSE,val
03706692328d6e9139f5b9052f6da5e0,1_TRUE,val,0_FALSE,val,1_TRUE,val,0_FALSE,val,0_FALSE,val
0376a6f51c123bf0f52c57f3f834afce,1_TRUE,val,0_FALSE,val,0_FALSE,val,0_FALSE,val,0_FALSE,val
038088c3d27a578ee2b68aaf2ff697a5,1_TRUE,val,0_FALSE,val,1_TRUE,val,0_FALSE,val,0_FALSE,val
0393b043e435e566657cf7d61879026c,1_TRUE,val,1_TRUE,val,0_FALSE,val,0_FALSE,val,0_FALSE,val
0399aef9b12830197dfdf4290d4987a2,1_TRUE,val,0_FALSE,val,0_FALSE,val,0_FALSE,val,0_FALSE,val
039eecdc62e3b4fb7b0743c64250111d,0_FALSE,val,1_TRUE,val,0_FALSE,val,0_FALSE,val,0_FALSE,val
03cf3a3ad1af2cc61b194974667cfef6,0_FALSE,val,1_TRUE,val,1_TRUE,val,0_FALSE,val,0_FALSE,val
04038e11d1a78f2ed3bcf93289af61dc,1_TRUE,val,0_FALSE,val,0_FALSE,val,0_FALSE,val,0_FALSE,val
